mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.82,"8 km SW of Volcano, Hawaii",1717401659930,1717401816450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260266&format=geojson,,,,,automatic,0,51,hv,74260266,",hv74260266,",",hv,",",origin,phase-data,",13.0,0.01476,0.230000004,92.0,ml,earthquake,"M 1.8 - 8 km SW of Volcano, Hawaii"
1.71,"9 km SW of Volcano, Hawaii",1717401334020,1717640109020,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260256&format=geojson,,,,,reviewed,0,45,hv,74260256,",hv74260256,",",hv,",",origin,phase-data,",9.0,0.0113,0.35,190.0,ml,earthquake,"M 1.7 - 9 km SW of Volcano, Hawaii"
1.67,"7 km S of Volcano, Hawaii",1717401323230,1717640668830,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260251&format=geojson,,,,,reviewed,0,43,hv,74260251,",hv74260251,",",hv,",",origin,phase-data,",7.0,0.008017,0.07,120.0,ml,earthquake,"M 1.7 - 7 km S of Volcano, Hawaii"
2.05,"6 km S of Volcano, Hawaii",1717401323070,1717401481630,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260261&format=geojson,,,,,automatic,0,65,hv,74260261,",hv74260261,",",hv,",",origin,phase-data,",13.0,0.01055,0.170000002,79.0,ml,earthquake,"M 2.1 - 6 km S of Volcano, Hawaii"
1.41,"26 km SW of Bodfish, CA",1717401321160,1717442186940,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40611671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40611671&format=geojson,,,,,reviewed,0,31,ci,40611671,",ci40611671,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.1194,0.19,39.0,ml,earthquake,"M 1.4 - 26 km SW of Bodfish, CA"
2.14,"6 km S of Volcano, Hawaii",1717401179190,1717401425240,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260241,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260241&format=geojson,1.0,3.8,,,automatic,0,71,hv,74260241,",hv74260241,",",hv,",",dyfi,origin,phase-data,",31.0,0.01065,0.25999999,59.0,ml,earthquake,"M 2.1 - 6 km S of Volcano, Hawaii"
1.7,"6 km SSW of Volcano, Hawaii",1717401004810,1717401604429,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260231&format=geojson,0.0,1.0,,,automatic,0,44,hv,74260231,",hv74260231,",",hv,",",dyfi,origin,phase-data,",14.0,0.005192,0.209999993,82.0,ml,earthquake,"M 1.7 - 6 km SSW of Volcano, Hawaii"
2.1,"6 km S of Volcano, Hawaii",1717400921460,1717401077270,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260226,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260226&format=geojson,,,,,automatic,0,68,hv,74260226,",hv74260226,",",hv,",",origin,phase-data,",25.0,0.008434,0.189999998,62.0,ml,earthquake,"M 2.1 - 6 km S of Volcano, Hawaii"
1.99,"8 km SW of Volcano, Hawaii",1717400899580,1717401057490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260221,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260221&format=geojson,,,,,automatic,0,61,hv,74260221,",hv74260221,",",hv,",",origin,phase-data,",12.0,0.01354,0.180000007,88.0,ml,earthquake,"M 2.0 - 8 km SW of Volcano, Hawaii"
1.7,"36 km ESE of Malaga, New Mexico",1717400517642,1717416983491,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kvys,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024kvys&format=geojson,,,,,reviewed,0,44,tx,2024kvys,",tx2024kvys,",",tx,",",origin,phase-data,",22.0,0.0,0.1,72.0,ml,earthquake,"M 1.7 - 36 km ESE of Malaga, New Mexico"
1.91,"7 km SW of Volcano, Hawaii",1717400512620,1717400672050,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260211&format=geojson,,,,,automatic,0,56,hv,74260211,",hv74260211,",",hv,",",origin,phase-data,",14.0,0.003162,0.140000001,72.0,ml,earthquake,"M 1.9 - 7 km SW of Volcano, Hawaii"
5.0,"Kermadec Islands, New Zealand",1717400508114,1717401712040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpy9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mpy9&format=geojson,,,,,reviewed,0,385,us,7000mpy9,",us7000mpy9,",",us,",",origin,phase-data,",33.0,0.995,0.92,77.0,mb,earthquake,"M 5.0 - Kermadec Islands, New Zealand"
2.08,"7 km SW of Volcano, Hawaii",1717400363390,1717400520260,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260206&format=geojson,,,,,automatic,0,67,hv,74260206,",hv74260206,",",hv,",",origin,phase-data,",8.0,0.008859,0.100000001,127.0,ml,earthquake,"M 2.1 - 7 km SW of Volcano, Hawaii"
1.17,"28 km SSW of Ocotillo Wells, CA",1717400350250,1717421540110,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40611655,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40611655&format=geojson,,,,,reviewed,0,21,ci,40611655,",ci40611655,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.1577,0.21,46.0,ml,earthquake,"M 1.2 - 28 km SSW of Ocotillo Wells, CA"
2.25,"6 km S of Volcano, Hawaii",1717400341160,1717400499410,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260201,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260201&format=geojson,,,,,automatic,0,78,hv,74260201,",hv74260201,",",hv,",",origin,phase-data,",19.0,0.01038,0.150000006,65.0,ml,earthquake,"M 2.3 - 6 km S of Volcano, Hawaii"
1.84,"7 km S of Volcano, Hawaii",1717400254490,1717400412690,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260191,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260191&format=geojson,,,,,automatic,0,52,hv,74260191,",hv74260191,",",hv,",",origin,phase-data,",17.0,0.007211,0.239999995,63.0,ml,earthquake,"M 1.8 - 7 km S of Volcano, Hawaii"
5.1,southeast of the Loyalty Islands,1717400128954,1717401302040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpy3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mpy3&format=geojson,,,,,reviewed,0,400,us,7000mpy3,",us7000mpy3,",",us,",",origin,phase-data,",74.0,3.773,1.23,75.0,mb,earthquake,M 5.1 - southeast of the Loyalty Islands
2.21,"7 km SW of Progreso, B.C., MX",1717400030650,1717440711040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40611647,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40611647&format=geojson,,,,,reviewed,0,75,ci,40611647,",ci40611647,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",50.0,0.03894,0.22,49.0,ml,earthquake,"M 2.2 - 7 km SW of Progreso, B.C., MX"
1.9,"32 km SSW of Los Ybanez, Texas",1717399998745,1717416590340,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kvyl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024kvyl&format=geojson,,,,,reviewed,0,56,tx,2024kvyl,",tx2024kvyl,",",tx,",",origin,phase-data,",15.0,0.1,0.1,102.0,ml,earthquake,"M 1.9 - 32 km SSW of Los Ybanez, Texas"
2.11,"7 km S of Volcano, Hawaii",1717399869780,1717400033480,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260181&format=geojson,,,,,automatic,0,68,hv,74260181,",hv74260181,",",hv,",",origin,phase-data,",20.0,0.00684,0.310000002,73.0,ml,earthquake,"M 2.1 - 7 km S of Volcano, Hawaii"
1.2,"33 km NE of Skwentna, Alaska",1717399831634,1718061778838,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02474gnbnl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02474gnbnl&format=geojson,,,,,reviewed,0,22,ak,02474gnbnl,",ak02474gnbnl,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,"M 1.2 - 33 km NE of Skwentna, Alaska"
1.89,"6 km SSW of Volcano, Hawaii",1717399672450,1717400209859,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260161,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260161&format=geojson,0.0,1.0,,,automatic,0,55,hv,74260161,",hv74260161,",",hv,",",dyfi,origin,phase-data,",14.0,0.004386,0.119999997,141.0,ml,earthquake,"M 1.9 - 6 km SSW of Volcano, Hawaii"
1.97,"6 km S of Volcano, Hawaii",1717399648510,1717400125337,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260156,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260156&format=geojson,0.0,1.0,,,automatic,0,60,hv,74260156,",hv74260156,",",hv,",",dyfi,origin,phase-data,",12.0,0.01621,0.159999996,84.0,ml,earthquake,"M 2.0 - 6 km S of Volcano, Hawaii"
2.9,"230 km SE of Chiniak, Alaska",1717399593335,1718061778636,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpxw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mpxw&format=geojson,,,,,reviewed,0,129,us,7000mpxw,",ak02474gmmo3,us7000mpxw,",",ak,us,",",origin,phase-data,",51.0,2.279,0.85,226.0,ml,earthquake,"M 2.9 - 230 km SE of Chiniak, Alaska"
2.6,"6 km S of Volcano, Hawaii",1717399437230,1717485649040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260151,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260151&format=geojson,1.0,2.7,,,reviewed,0,104,hv,74260151,",hv74260151,us7000mpxs,",",hv,us,",",dyfi,origin,phase-data,",29.0,0.01147,0.11,73.0,ml,earthquake,"M 2.6 - 6 km S of Volcano, Hawaii"
2.23,"3 km WSW of Volcano, Hawaii",1717399337770,1717401885405,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260146,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260146&format=geojson,0.0,1.0,,,automatic,0,77,hv,74260146,",hv74260146,",",hv,",",dyfi,origin,phase-data,",11.0,0.01452,0.340000004,165.0,ml,earthquake,"M 2.2 - 3 km WSW of Volcano, Hawaii"
2.32,"6 km SSW of Volcano, Hawaii",1717399335740,1717399491830,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260141,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260141&format=geojson,,,,,automatic,0,83,hv,74260141,",hv74260141,",",hv,",",origin,phase-data,",29.0,0.0004874,0.310000002,41.0,ml,earthquake,"M 2.3 - 6 km SSW of Volcano, Hawaii"
1.03,"2 km ENE of Jet, Oklahoma",1717399300240,1717505983018,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024kvyb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024kvyb&format=geojson,,,,,reviewed,0,16,ok,2024kvyb,",ok2024kvyb,",",ok,",",origin,phase-data,",22.0,0.2006606235,0.13,152.0,ml,earthquake,"M 1.0 - 2 km ENE of Jet, Oklahoma"
2.11,"6 km SSW of Volcano, Hawaii",1717399170130,1717399328330,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260131,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260131&format=geojson,,,,,automatic,0,68,hv,74260131,",hv74260131,",",hv,",",origin,phase-data,",10.0,0.004039,0.159999996,93.0,ml,earthquake,"M 2.1 - 6 km SSW of Volcano, Hawaii"
1.83,"7 km SW of Volcano, Hawaii",1717399141880,1717399298530,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260126,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260126&format=geojson,,,,,automatic,0,52,hv,74260126,",hv74260126,",",hv,",",origin,phase-data,",16.0,0.009141,0.119999997,56.0,ml,earthquake,"M 1.8 - 7 km SW of Volcano, Hawaii"
1.63,"16 km SW of Thatcher, Utah",1717398820020,1717420793280,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80070881,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80070881&format=geojson,,,,,reviewed,0,41,uu,80070881,",uu80070881,",",uu,",",origin,phase-data,",19.0,0.02308,0.13,52.0,ml,earthquake,"M 1.6 - 16 km SW of Thatcher, Utah"
1.57,"12 km SW of Tres Pinos, CA",1717398762630,1717398858190,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75015447,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75015447&format=geojson,,,,,automatic,0,38,nc,75015447,",nc75015447,",",nc,",",nearby-cities,origin,phase-data,",11.0,0.03076,0.17,73.0,md,earthquake,"M 1.6 - 12 km SW of Tres Pinos, CA"
4.1,"7 km SSW of Volcano, Hawaii",1717398748050,1717485463900,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260121,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260121&format=geojson,39.0,3.6,5.382,green,reviewed,0,273,hv,74260121,",pt24155001,hv74260121,us7000mpxp,",",pt,hv,us,",",dyfi,losspager,origin,phase-data,shakemap,",58.0,0.01086,0.12,46.0,mh,earthquake,"M 4.1 - 7 km SSW of Volcano, Hawaii"
1.1,"27 km WSW of Hawthorne, Nevada",1717398656997,1717877979707,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878859,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00878859&format=geojson,,,,,reviewed,0,19,nn,00878859,",nn00878859,",",nn,",",origin,phase-data,",6.0,0.347,0.0976,147.23,ml,earthquake,"M 1.1 - 27 km WSW of Hawthorne, Nevada"
1.85,"6 km SSW of Volcano, Hawaii",1717398618180,1717399219600,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260111&format=geojson,0.0,1.0,,,automatic,0,53,hv,74260111,",hv74260111,",",hv,",",dyfi,origin,phase-data,",13.0,0.005275,0.189999998,77.0,ml,earthquake,"M 1.9 - 6 km SSW of Volcano, Hawaii"
2.03,"7 km SSE of Volcano, Hawaii",1717398448930,1717398606690,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260106,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260106&format=geojson,,,,,automatic,0,63,hv,74260106,",hv74260106,",",hv,",",origin,phase-data,",19.0,0.008277,0.270000011,106.0,ml,earthquake,"M 2.0 - 7 km SSE of Volcano, Hawaii"
-0.95,"63 km ENE of Pedro Bay, Alaska",1717398385640,1717458150900,,https://earthquake.usgs.gov/earthquakes/eventpage/av93148746,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93148746&format=geojson,,,,,reviewed,0,0,av,93148746,",av93148746,",",av,",",origin,phase-data,",5.0,0.02361,0.15,103.0,ml,earthquake,"M -1.0 - 63 km ENE of Pedro Bay, Alaska"
1.95000005,"9 km SW of Volcano, Hawaii",1717398381370,1717398479490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260101,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260101&format=geojson,,,,,automatic,0,59,hv,74260101,",hv74260101,",",hv,",",origin,phase-data,",12.0,0.01678,0.360000014,93.0,md,earthquake,"M 2.0 - 9 km SW of Volcano, Hawaii"
2.25,"8 km SSE of Volcano, Hawaii",1717398231310,1717398842000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260096,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260096&format=geojson,,,,,reviewed,0,78,hv,74260096,",hv74260096,",",hv,",",origin,phase-data,",20.0,0.005755,0.1,105.0,ml,earthquake,"M 2.3 - 8 km SSE of Volcano, Hawaii"
1.4,"59 km SE of Denali National Park, Alaska",1717398181386,1717795289339,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02474ghch8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02474ghch8&format=geojson,,,,,reviewed,0,30,ak,02474ghch8,",ak02474ghch8,",",ak,",",origin,phase-data,",,,0.46,,ml,earthquake,"M 1.4 - 59 km SE of Denali National Park, Alaska"
2.19,"6 km SSE of Volcano, Hawaii",1717398130810,1717398294590,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260091,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260091&format=geojson,,,,,automatic,0,74,hv,74260091,",hv74260091,",",hv,",",origin,phase-data,",16.0,0.01147,0.389999986,104.0,ml,earthquake,"M 2.2 - 6 km SSE of Volcano, Hawaii"
2.28,"8 km S of Volcano, Hawaii",1717398130010,1717398290490,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260086,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260086&format=geojson,,,,,automatic,0,80,hv,74260086,",hv74260086,",",hv,",",origin,phase-data,",26.0,0.00481,0.180000007,101.0,ml,earthquake,"M 2.3 - 8 km S of Volcano, Hawaii"
1.87,"6 km S of Volcano, Hawaii",1717398059330,1717398218720,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260081,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260081&format=geojson,,,,,automatic,0,54,hv,74260081,",hv74260081,",",hv,",",origin,phase-data,",16.0,0.008949,0.170000002,69.0,ml,earthquake,"M 1.9 - 6 km S of Volcano, Hawaii"
2.48,"7 km SW of Volcano, Hawaii",1717397763920,1717504589040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260076,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260076&format=geojson,,,,,reviewed,0,95,hv,74260076,",us7000mpxg,hv74260076,",",us,hv,",",origin,phase-data,",19.0,0.003033,0.08,47.0,ml,earthquake,"M 2.5 - 7 km SW of Volcano, Hawaii"
0.28,"6 km WNW of Cobb, CA",1717397686450,1717397783056,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75015442,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75015442&format=geojson,,,,,automatic,0,1,nc,75015442,",nc75015442,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.003299,0.01,83.0,md,earthquake,"M 0.3 - 6 km WNW of Cobb, CA"
2.25,"6 km S of Volcano, Hawaii",1717397531240,1717397689130,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260071,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260071&format=geojson,,,,,automatic,0,78,hv,74260071,",hv74260071,",",hv,",",origin,phase-data,",31.0,0.006928,0.340000004,51.0,ml,earthquake,"M 2.3 - 6 km S of Volcano, Hawaii"
2.36,"6 km S of Volcano, Hawaii",1717397272500,1717483561040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260061,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260061&format=geojson,,,,,reviewed,0,86,hv,74260061,",us7000mpxh,hv74260061,",",us,hv,",",origin,phase-data,",19.0,0.01047,0.08,89.0,md,earthquake,"M 2.4 - 6 km S of Volcano, Hawaii"
2.32,"7 km SW of Volcano, Hawaii",1717397242890,1717642367285,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260066,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260066&format=geojson,0.0,1.0,,,reviewed,0,83,hv,74260066,",hv74260066,",",hv,",",dyfi,origin,phase-data,",30.0,0.004243,0.1,43.0,ml,earthquake,"M 2.3 - 7 km SW of Volcano, Hawaii"
1.5,"65 km N of Petersville, Alaska",1717397170363,1717795289112,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02474g59yp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02474g59yp&format=geojson,,,,,reviewed,0,35,ak,02474g59yp,",ak02474g59yp,",",ak,",",origin,phase-data,",,,0.54,,ml,earthquake,"M 1.5 - 65 km N of Petersville, Alaska"
2.78,"7 km S of Volcano, Hawaii",1717397038410,1717642347220,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260056,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260056&format=geojson,1.0,2.7,,,reviewed,0,119,hv,74260056,",hv74260056,",",hv,",",dyfi,origin,phase-data,",30.0,0.006084,0.12,57.0,ml,earthquake,"M 2.8 - 7 km S of Volcano, Hawaii"
3.35,"7 km SW of Volcano, Hawaii",1717396917060,1717425046040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260051,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260051&format=geojson,1.0,2.0,,,reviewed,0,173,hv,74260051,",hv74260051,us7000mpx8,",",hv,us,",",dyfi,origin,phase-data,",31.0,0.006051,0.11,43.0,ml,earthquake,"M 3.4 - 7 km SW of Volcano, Hawaii"
5.9,northern Mid-Atlantic Ridge,1717396911779,1717483596620,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpxd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mpxd&format=geojson,,,0.0,green,reviewed,0,536,us,7000mpxd,",usauto7000mpxd,pt24155000,us7000mpxd,",",usauto,pt,us,",",internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",137.0,16.492,1.01,42.0,mww,earthquake,M 5.9 - northern Mid-Atlantic Ridge
2.42,"6 km SW of Volcano, Hawaii",1717396870790,1717397027110,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260041,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260041&format=geojson,,,,,automatic,0,90,hv,74260041,",hv74260041,",",hv,",",origin,phase-data,",25.0,0.002089,0.189999998,45.0,ml,earthquake,"M 2.4 - 6 km SW of Volcano, Hawaii"
1.41,"0 km NNE of Honalo, Hawaii",1717396852040,1717402523980,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260046&format=geojson,,,,,reviewed,0,31,hv,74260046,",hv74260046,",",hv,",",origin,phase-data,",17.0,0.06638,0.14,152.0,md,earthquake,"M 1.4 - 0 km NNE of Honalo, Hawaii"
2.87,"6 km S of Volcano, Hawaii",1717396551610,1717482932040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260036,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260036&format=geojson,,,,,reviewed,0,127,hv,74260036,",us7000mpx6,hv74260036,",",us,hv,",",origin,phase-data,",32.0,0.007982,0.11,75.0,ml,earthquake,"M 2.9 - 6 km S of Volcano, Hawaii"
2.44,"9 km SSE of Volcano, Hawaii",1717396484210,1717396640180,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260026&format=geojson,,,,,automatic,0,92,hv,74260026,",hv74260026,",",hv,",",origin,phase-data,",9.0,0.0183,0.219999999,187.0,ml,earthquake,"M 2.4 - 9 km SSE of Volcano, Hawaii"
2.42,"7 km SW of Volcano, Hawaii",1717396100360,1717642674640,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260016,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260016&format=geojson,,,,,reviewed,0,90,hv,74260016,",hv74260016,",",hv,",",origin,phase-data,",37.0,0.006388,0.11,44.0,ml,earthquake,"M 2.4 - 7 km SW of Volcano, Hawaii"
1.3,"56 km S of Manley Hot Springs, Alaska",1717396049046,1718061778434,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02474g18qj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02474g18qj&format=geojson,,,,,reviewed,0,26,ak,02474g18qj,",ak02474g18qj,",",ak,",",origin,phase-data,",,,0.68,,ml,earthquake,"M 1.3 - 56 km S of Manley Hot Springs, Alaska"
2.01,"7 km SW of Volcano, Hawaii",1717395849060,1717396007660,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260011,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260011&format=geojson,,,,,automatic,0,62,hv,74260011,",hv74260011,",",hv,",",origin,phase-data,",19.0,0.006238,0.219999999,51.0,ml,earthquake,"M 2.0 - 7 km SW of Volcano, Hawaii"
1.29,"3 km NE of The Geysers, CA",1717395747540,1717395842840,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75015437,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75015437&format=geojson,,,,,automatic,0,26,nc,75015437,",nc75015437,",",nc,",",nearby-cities,origin,phase-data,",19.0,0.01697,0.05,103.0,md,earthquake,"M 1.3 - 3 km NE of The Geysers, CA"
-0.23,"87 km NNW of Karluk, Alaska",1717395745740,1717457970110,,https://earthquake.usgs.gov/earthquakes/eventpage/av93010169,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93010169&format=geojson,,,,,reviewed,0,0,av,93010169,",av93010169,",",av,",",origin,phase-data,",6.0,0.04615,0.18,183.0,ml,earthquake,"M -0.2 - 87 km NNW of Karluk, Alaska"
2.29,"6 km SSW of Volcano, Hawaii",1717395730110,1717395889850,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260006&format=geojson,,,,,automatic,0,81,hv,74260006,",hv74260006,",",hv,",",origin,phase-data,",28.0,0.009149,0.289999992,41.0,ml,earthquake,"M 2.3 - 6 km SSW of Volcano, Hawaii"
2.34,"7 km SW of Volcano, Hawaii",1717395579570,1717395736000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74260001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74260001&format=geojson,,,,,automatic,0,84,hv,74260001,",hv74260001,",",hv,",",origin,phase-data,",30.0,0.00664,0.159999996,44.0,ml,earthquake,"M 2.3 - 7 km SW of Volcano, Hawaii"
0.95,"7 km NNW of The Geysers, CA",1717395412300,1717395507889,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75015432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75015432&format=geojson,,,,,automatic,0,14,nc,75015432,",nc75015432,",",nc,",",nearby-cities,origin,phase-data,",17.0,0.004546,0.02,59.0,md,earthquake,"M 1.0 - 7 km NNW of The Geysers, CA"
2.83,"8 km SW of Volcano, Hawaii",1717395406620,1717482655040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74259996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74259996&format=geojson,,,,,reviewed,0,123,hv,74259996,",us7000mpx0,hv74259996,",",us,hv,",",origin,phase-data,",25.0,0.003446,0.1,43.0,ml,earthquake,"M 2.8 - 8 km SW of Volcano, Hawaii"
2.66,"7 km SW of Volcano, Hawaii",1717395367800,1717709297590,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74259991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74259991&format=geojson,,,,,reviewed,0,109,hv,74259991,",hv74259991,",",hv,",",origin,phase-data,",30.0,0.005998,0.11,43.0,ml,earthquake,"M 2.7 - 7 km SW of Volcano, Hawaii"
